epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2328.27,1.01161,0.62296,1.00248,0.58302,0.44273,0.50112,0.3477,0.99736,0.60439,1.02299,0.0002278,0.0002278,0.0002278
80,2359.17,1.00921,0.63317,1.00842,0.60985,0.42559,0.51793,0.36154,0.99502,0.59562,1.019,0.0002179,0.0002179,0.0002179
81,2386.95,0.96398,0.60881,0.99722,0.61192,0.42569,0.51629,0.35922,0.9989,0.59215,1.01469,0.000208,0.000208,0.000208
82,2409.71,1.03596,0.61017,1.01076,0.55982,0.50586,0.51449,0.35527,0.99595,0.58885,1.01413,0.0001981,0.0001981,0.0001981
83,2434.21,1.04144,0.6278,1.00946,0.55662,0.49811,0.50994,0.35487,0.98452,0.58619,1.01406,0.0001882,0.0001882,0.0001882
84,2458.23,1.04428,0.65183,1.01451,0.55367,0.49731,0.50902,0.35788,0.98485,0.58962,1.01381,0.0001783,0.0001783,0.0001783
85,2482.03,1.02549,0.61527,1.00071,0.54017,0.5315,0.51707,0.3614,0.98987,0.58902,1.01767,0.0001684,0.0001684,0.0001684
86,2506.77,1.03064,0.66132,1.00959,0.45078,0.53924,0.52734,0.37011,0.98236,0.58534,1.01564,0.0001585,0.0001585,0.0001585
87,2541.79,1.04679,0.66085,1.01913,0.45987,0.54151,0.53605,0.36979,0.99004,0.59127,1.01518,0.0001486,0.0001486,0.0001486
88,2567.77,1.02336,0.62609,1.0023,0.45436,0.54594,0.55099,0.38157,1.00392,0.585,1.01587,0.0001387,0.0001387,0.0001387
89,2596.5,0.99296,0.61194,1.01937,0.47126,0.56562,0.55556,0.38624,0.99484,0.57526,1.01448,0.0001288,0.0001288,0.0001288
90,2625.55,0.98336,0.56998,1.0008,0.47883,0.55472,0.56757,0.39504,0.97419,0.57291,1.01097,0.0001189,0.0001189,0.0001189
91,2694.72,1.00564,0.6971,1.01346,0.47883,0.55472,0.56757,0.39504,0.97419,0.57291,1.01097,0.000109,0.000109,0.000109
92,2723.93,1.02797,0.64552,0.98789,0.47762,0.54485,0.55506,0.38776,0.96655,0.57385,1.00662,9.91e-05,9.91e-05,9.91e-05
93,2747.76,0.97114,0.60661,0.97077,0.56309,0.56227,0.56565,0.40375,0.96228,0.57807,1.003,8.92e-05,8.92e-05,8.92e-05
94,2780.11,1.00642,0.62626,0.9808,0.57766,0.561,0.5557,0.39594,0.95959,0.57983,1.00089,7.93e-05,7.93e-05,7.93e-05
95,2806.57,0.99117,0.64852,0.97173,0.58183,0.5453,0.55622,0.39445,0.95923,0.58009,1.00109,6.94e-05,6.94e-05,6.94e-05
96,2830.69,0.98467,0.62177,0.99034,0.59013,0.56101,0.55519,0.39401,0.96221,0.58105,1.00192,5.95e-05,5.95e-05,5.95e-05
97,2854.77,0.99971,0.63395,1.01019,0.51613,0.5377,0.54831,0.38601,0.96377,0.57872,1.00402,4.96e-05,4.96e-05,4.96e-05
98,2877.13,0.94833,0.58186,0.95061,0.53732,0.53186,0.5489,0.39064,0.96556,0.57758,1.00443,3.97e-05,3.97e-05,3.97e-05
99,2904.3,0.98779,0.59068,0.99402,0.50779,0.5358,0.54578,0.3837,0.96397,0.57437,1.00337,2.98e-05,2.98e-05,2.98e-05
100,2924.3,0.98299,0.6002,0.98443,0.5562,0.53161,0.54827,0.38965,0.96263,0.57415,1.00294,1.99e-05,1.99e-05,1.99e-05
